SRS_ID;WADMKK;WADMPR;NO;NAMA ITEM DATA;KELURAHAN;KECAMATAN;LATITUDE;LONGITUDE;TIPE ATM;ALAMAT
;;Sumatera Barat;98;KK SOLOK SELATAN;NAGARI LUBUK GADANG;TANJUNG HARAPAN;-1.5014017883554007;101.24211162156786;ATM Tunai;JL. LINTAS JORONG PADANG ARO SOLOK SELATAN
;;Sumatera Barat;99;KKSP SEMEN PADANG;INDARUNG;LUBUK KILANGAN;-0.949297944276099;100.46608790499572;ATM Tunai;JL.RAYA INDARUNG PADANG
;;Sumatera Barat;100;KLN LUBUK SIKAPING;NAGARI DURIAN TINGGI;LUBUK SIKAPING;-0.12865377757379917;100.1700237599491;ATM Tunai;JL. SUDIRMAN NAGARI DURIAN TINGGI KAB. PASAMAN
;;Sumatera Barat;101;KURANJI;KURANJI;KURANJI;-0.9125179691891289;100.39706424403387;ATM Tunai;JL. RAYA KAMPUNG KELAWI NO. 81 PADANG
;;Sumatera Barat;102;MINIMARKET ASLAM;CAMPAGO GUGUAK BULEK;MANDIANGIN KOTO SELAYAN;-0.28684693644889986;100.38423607870479;ATM Tunai;JL.ABDUL MANAN SIMP GUGUAK BULEK BUKITTINNGI
;;Sumatera Barat;103;NGALAU INDAH PAYAKUMBUH;KUBU GADANG;PAYAKUMBUH BARAT;-0.24016221012758376;100.61314031480165;ATM Tunai;JL SUKARNO HATTA KOTA PAYAKUMBUH
;;Sumatera Barat;104;PDAM PAYAKUMBUH;PADANG TIAKAR;PAYAKUMBUH TIMUR;-0.23363913369243874;100.63305303388876;ATM Tunai;JL.M.YAMIN PAYAKUMBUH
;;Sumatera Barat;105;PLAZA PAYAKUMBUH;LABUAH BARU;PAYAKUMBUH UTARA;-0.184907740390322;100.65036657470698;ATM Tunai;JL.SUDIRMAN PAYAKUMBUH
;;Sumatera Barat;106;PLAZA SUNGAI RUMBAI;SUNGAI RUMBAI;SUNGAI RUMBAI;-0.9998327385298719;101.38552543396301;ATM Tunai;JL. LINTAS SUMATRA KEC. KOTO BARU KAB. DAHRMASRAYA PROV. SUMATERA BARAT
;;Sumatera Barat;107;PLN BUKITTINGGI;ATTS;GUGUK PANJANG;-0.30770904505958546;100.37154103486213;ATM Tunai;KANTOR PLN CAB.BUKITTINGGI
;;Sumatera Barat;108;POLIKLINIK GIGI;KEL. PASAR BARU;PAUH;-0.8720919498233903;100.39083480217538;ATM Tunai;JL. M. HATTA NO. 5 A PADANG
;;Sumatera Barat;109;POLITANI UNAND;TANJUNG PATI;HARAU;-0.1688314179399845;100.66385882234349;ATM Tunai;JL RAYA NEGARA KM 7
;;Sumatera Barat;110;POLITEKNIK PAYAKUMBUH;KOTO TUO;HARAU;-0.16896298592162934;100.66389138023557;ATM Tunai;JL.TAN MALAKA KM 15 PASAR DANGUNG-DANGUNG
;;Sumatera Barat;111;BNI ITP PADANG;ULAK KARANG UTARA;PADANG UTARA;-0.8998497073916407 ;100.36342444411686;ATM Tunai;JL. SUMATERA ULAK KARANG
;;Sumatera Barat;112;RAGASA MOTOR;GURUN LAWEH;LUBEK BAGALUNG;-0.9472515936874509 ;100.38103572510803;ATM Tunai;JL. DR. SUTOMO NO. 48 PADANG
;;Sumatera Barat;113;RM KAYU ARO;KAYU ARO;GUNUNG TALANG;-0.9531502105856623;100.61960042346597;ATM Tunai;JL. RAYA KAYU ARO KAB SOLOK
;;Sumatera Barat;114;RM LAMUN OMBAK;ULAK KARANG SELATAN;PADANG UTARA;-0.908706721476838 ;100.35348653317500;ATM Tunai;JL. KHATIB SULAIMAN
;;Sumatera Barat;115;RM.UMEGA;GUNUNG MEDAN;GUNUNG MEDAN;-0.961386223098266;101.59426565621253;ATM Tunai;JLN LINTAS GN.MEDAN KAB. DHARMASRAYA
;;Sumatera Barat;116;RS. IBNU SHINA;GUNUNG PANGILUN;PADANG UTARA;-0.9171904769852680;100.36720990659400;ATM Tunai;JL. R. SOEPRAPTO MUKA KUNING
;;Sumatera Barat;117;RSUD ADNAN WD;LABUAH BARU;PAYAKUMBUH TIMUR;-0.22262949900840600;100.63914898206500;ATM Tunai;JL.ADE IRMA SURYANI PAYAKUMBUH
;;Sumatera Barat;118;RSUD LUBUK BASUNG;PADANG BARU;KEC. LUBUK BASUNG;-0.3125117592503580;100.0315044627980;ATM Tunai;JL SOEKARNO HATTA
;;Sumatera Barat;119;RSUD PADANG PANJANG;GANTIANG;PADANG PANJANG TIMUR;-0.4553118773256330;100.402023318373;ATM Tunai;JL. TABEK GADANG BUKIK KANDUANG
;;Sumatera Barat;120;RSUD PARIAMAN;KAMPUNG BARU;PARIAMAN TENGAH;-0.63110212587379;100.12566687101900;ATM Tunai;JL. M YAMIN KOTA PARIAMAN
;;Sumatera Barat;121;RSUP. M. JAMIL PADANG;JATI BARU;PADANG TIMUR;-0.9436959043162450;100.36666236438100;ATM Tunai;JL. DANAU AGUNG, KEL.SUNTER AGUNG, KEC.TANJUNG PRIOK, JAKARTA UTARA 14350
;;Sumatera Barat;122;RUMAH MAKAN LAMUN OMBAK;ULAK KARANG UTARA;PADANG UTARA;-0.9070451237473310;100.35335539273800;ATM Tunai;JL. PROVINSI KM. 192, SATUI, ANGSANA, TANAH BUMBU, 72275
;;Sumatera Barat;123;SATE MAK SYUKUR;KEL. SELAING BAWAH;PADANG PANJANG BARAT;-0.46360940482229;100.38071612462400;ATM Tunai;PADANG PANJANG
;;Sumatera Barat;124;SIMPANG GUDANG;KEL. SURABAYO;KEC. LUBUK BASUNG;-0.32132695559526900;99.96359711615660;ATM Tunai;JL.LINTAS TIMUR MANGGOPOH JORONG BALAI I LUBUK BASUNG
;;Sumatera Barat;125;SPBU ALANG LAWEH;ALANG LAWEH;PADANG SELATAN;-0.951516023482538;100.36782670120100;ATM Tunai;JL. MH THAMRIN PADANG
;;Sumatera Barat;126;SPBU BYPASS;KALUMBUK;KALUMPANG;-0.9430910968180570;100.40078352217800;ATM Tunai;JL. RAYA PASS PADANG
;;Sumatera Barat;127;SPBU CANDUNG BASO;IV ANGKAT CANDUNG;IV ANGKAT CANDUNG;-0.29116999634362400;100.40257249674200;ATM Tunai;JL.RAYA BUKITTINGGI-PAYAKUMBUH KM 7
;;Sumatera Barat;128;SPBU CENGKEH;CANGKEH NAN XX;LUBUK BAGALUNG;-0.9534410822189640;100.40795561167700;ATM Tunai;JL. PADANG INDARUNG TANJUNG SABA PADANG
;;Sumatera Barat;129;SPBU JATI PARIAMAN;JATI HILIR;PARIAMAN TENGAH;-0.5971685766951070;100.14068839953400;ATM Tunai;JL. BY PASS JATI PARIAMAN
;;Sumatera Barat;130;SPBU KHATIB SULAIMAN;LOLONG BELANTI;PADANG UTARA;-0.9117645167095770;100.35852209900900;ATM Tunai;JL. KHOTIB SULAIMAN NO.50 PADANG
;;Sumatera Barat;131;SPBU KOTA BARU;KUBUNG;KUBUNG;-0.8133588416533240;100.65494372811900;ATM Tunai;JL. RAYA SOLOK PADANG KM. 5 SOLOK
