NO;ID;NAMA ITEM DATA;KELURAHAN;KECAMATAN;KABUPATEN/KOTA;LATITUDE;LONGITUDE;TIPE ATM;ALAMAT;DATA ATRIBUT7;DATA ATRIBUT8;DATA ATRIBUT9;PHOTO/GAMBAR
56;;GALLERY KCU PADANG;KAMPUNG JUA;PADANG BARAT;KOTA PADANG;-0.9431937484678314;100.36764192866495;ATM Non-Tunai;JL. PROKLAMASI NO. 45 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
57;;GALLERY KCU PADANG;KAMPUNG JUA;PADANG BARAT;KOTA PADANG;-0.9431937484678314;100.36764192866495;ATM Tunai;JL. PROKLAMASI NO. 45 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
58;;GALLERY KCU PADANG;KAMPUNG JUA;PADANG BARAT;KOTA PADANG;-0.9431937484678314;100.36764192866495;CRM;JL. PROKLAMASI NO. 45 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
59;;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;KOTA PAYAKUMBUH;-0.22491110613613055;100.6291147840516;CRM;JALAN SUKARNO-HATTA NO.86 PAYAKUMBUH;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
60;;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;KOTA PAYAKUMBUH;-0.22491110613613055;100.6291147840516;ATM Tunai;JL VETERAN NO.25 & 27 PAYAKUMBUH;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
61;;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;KOTA PAYAKUMBUH;-0.22491110613613055;100.6291147840516;ATM Tunai;JL. SOEKARNO HATTA NO. 86 PAYAKUMBUH;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
62;;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;KOTA PAYAKUMBUH;-0.22491110613613055;100.6291147840516;CRM;JL. SOEKARNO HATTA NO. 86 PAYAKUMBUH;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
63;;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;KOTA PAYAKUMBUH;-0.22491110613613055;100.6291147840516;ATM Non-Tunai;JL.SOEKARNO HATTA NO.86 PAYAKUMBUH;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
64;;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;KOTA PAYAKUMBUH;-0.22491110613613055;100.6291147840516;ATM Tunai;JL.SOEKARNO HATTA NO.86 PAYAKUMBUH;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
65;;GALLERY KCU PAYAKUMBUH;PARAK BATUANG;PAYAKUMBUH BARAT;KOTA PAYAKUMBUH;-0.22491110613613055;100.6291147840516;CRM;JL.SOEKARNO HATTA NO.86 PAYAKUMBUH;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
